id,architecture,reference_path,search_path,gt_x,gt_y,canvas_seed,crop_index,jitter_profile,imaging_noise_profile,geometric_profile,scale_ratio,rotation_deg
33,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00033.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00033.png,466.8,578.4,200033,0,normal,clean,normal,1.0,0.0
34,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00034.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00034.png,248.2,503.5,200034,0,normal,normal,normal,1.0,0.0
35,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00035.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00035.png,180.6,849.7,200035,0,normal,normal,normal,1.0,0.0
36,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00036.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00036.png,305.3,420.7,200036,0,normal,normal,normal,1.0,0.0
37,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00037.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00037.png,69.8,227.9,200037,0,normal,normal,normal,1.0,0.0
38,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00038.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00038.png,894.6,796.6,200038,0,normal,normal,normal,1.0,0.0
39,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00039.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00039.png,342.2,325.4,200039,0,normal,normal,normal,1.0,0.0
40,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00040.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00040.png,381.9,393.4,200040,0,normal,normal,normal,1.0,0.0
41,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00041.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00041.png,355.7,265.7,200041,0,normal,normal,normal,1.0,0.0
42,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00042.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00042.png,393.7,196.5,200042,0,normal,normal,normal,1.0,0.0
43,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00043.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00043.png,723.6,646.3,200043,0,normal,normal,normal,1.0,0.0
44,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00044.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00044.png,443.8,545.8,200044,0,normal,normal,normal,1.0,0.0
45,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00045.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00045.png,452.5,190.1,200045,0,normal,normal,normal,1.0,0.0
46,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00046.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00046.png,343.2,331.9,200046,0,normal,normal,normal,1.0,0.0
47,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00047.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00047.png,430.7,524.5,200047,0,normal,normal,normal,1.0,0.0
48,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00048.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00048.png,139.4,489.8,200048,0,normal,normal,normal,1.0,0.0
49,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00049.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00049.png,182.9,615.7,200049,0,normal,normal,normal,1.0,0.0
50,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00050.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00050.png,638.8,356.6,200050,0,normal,normal,normal,1.0,0.0
51,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00051.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00051.png,312.4,312.7,200051,0,normal,normal,normal,1.0,0.0
52,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00052.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00052.png,194.8,308.2,200052,0,normal,normal,normal,1.0,0.0
53,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00053.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00053.png,946.6,704.5,200053,0,normal,normal,normal,1.0,0.0
54,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00054.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00054.png,498.1,387.6,200054,0,normal,normal,normal,1.0,0.0
55,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00055.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00055.png,504.8,728.5,200055,0,normal,normal,normal,1.0,0.0
56,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00056.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00056.png,947.8,99.2,200056,0,normal,normal,normal,1.0,0.0
57,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00057.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00057.png,283.0,414.6,200057,0,normal,normal,normal,1.0,0.0
58,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00058.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00058.png,738.6,316.4,200058,0,normal,normal,normal,1.0,0.0
59,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00059.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00059.png,93.6,939.3,200059,0,normal,normal,normal,1.0,0.0
60,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00060.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00060.png,285.2,155.1,200060,0,normal,normal,normal,1.0,0.0
61,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00061.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00061.png,741.6,883.9,200061,0,normal,normal,normal,1.0,0.0
62,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00062.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00062.png,445.3,499.0,200062,0,normal,normal,normal,1.0,0.0
63,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00063.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00063.png,227.7,132.6,200063,0,normal,normal,normal,1.0,0.0
64,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00064.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00064.png,752.7,304.4,200064,0,normal,normal,normal,1.0,0.0
65,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00065.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00065.png,428.7,572.8,200065,0,normal,normal,normal,1.0,0.0
66,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00066.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00066.png,757.9,148.4,200066,0,normal,normal,normal,1.0,0.0
67,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00067.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00067.png,227.1,834.8,200067,0,normal,harsh,normal,1.0,0.0
68,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00068.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00068.png,605.8,86.7,200068,0,normal,harsh,normal,1.0,0.0
69,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00069.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00069.png,762.6,432.9,200069,0,normal,harsh,normal,1.0,0.0
70,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00070.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00070.png,146.9,725.8,200070,0,normal,harsh,normal,1.0,0.0
71,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00071.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00071.png,652.6,845.8,200071,0,normal,harsh,normal,1.0,0.0
72,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00072.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00072.png,180.3,630.1,200072,0,normal,harsh,normal,1.0,0.0
73,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00073.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00073.png,697.3,292.2,200073,0,normal,harsh,normal,1.0,0.0
74,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00074.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00074.png,934.9,519.8,200074,0,normal,harsh,normal,1.0,0.0
75,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00075.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00075.png,299.1,371.0,200075,0,normal,harsh,normal,1.0,0.0
76,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00076.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00076.png,296.3,356.6,200076,0,normal,harsh,normal,1.0,0.0
77,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00077.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00077.png,843.0,109.4,200077,0,normal,harsh,normal,1.0,0.0
78,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00078.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00078.png,363.7,82.8,200078,0,normal,harsh,normal,1.0,0.0
79,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00079.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00079.png,893.6,291.6,200079,0,normal,harsh,normal,1.0,0.0
80,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00080.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00080.png,510.8,144.2,200080,0,normal,harsh,normal,1.0,0.0
81,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00081.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00081.png,787.4,151.8,200081,0,normal,harsh,normal,1.0,0.0
82,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00082.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00082.png,422.7,859.7,200082,0,normal,harsh,normal,1.0,0.0
83,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00083.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00083.png,665.5,276.5,200083,0,normal,harsh,normal,1.0,0.0
84,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00084.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00084.png,180.0,920.4,200084,0,normal,harsh,normal,1.0,0.0
85,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00085.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00085.png,608.7,358.0,200085,0,normal,harsh,normal,1.0,0.0
86,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00086.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00086.png,285.7,684.4,200086,0,normal,harsh,normal,1.0,0.0
87,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00087.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00087.png,571.1,891.4,200087,0,normal,harsh,normal,1.0,0.0
88,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00088.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00088.png,410.0,800.6,200088,0,normal,harsh,normal,1.0,0.0
89,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00089.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00089.png,550.0,100.6,200089,0,normal,harsh,normal,1.0,0.0
90,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00090.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00090.png,892.0,522.5,200090,0,normal,harsh,normal,1.0,0.0
91,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00091.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00091.png,253.5,456.4,200091,0,normal,harsh,normal,1.0,0.0
92,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00092.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00092.png,629.6,554.7,200092,0,normal,harsh,normal,1.0,0.0
93,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00093.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00093.png,921.6,319.2,200093,0,normal,harsh,normal,1.0,0.0
94,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00094.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00094.png,510.5,862.5,200094,0,normal,harsh,normal,1.0,0.0
95,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00095.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00095.png,162.2,294.5,200095,0,normal,harsh,normal,1.0,0.0
96,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00096.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00096.png,529.3,807.2,200096,0,normal,harsh,normal,1.0,0.0
97,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00097.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00097.png,397.3,838.2,200097,0,normal,harsh,normal,1.0,0.0
98,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00098.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00098.png,802.6,707.1,200098,0,normal,harsh,normal,1.0,0.0
99,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00099.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00099.png,176.5,98.3,200099,0,normal,harsh,normal,1.0,0.0
